Time (seconds),Sound
71.23,75
72.32,7
73.38,45
52.53,0
53.6,26
54.66,0
55.72,3
56.78,0
57.84,3
58.9,0
59.96,0
61.02,0
77.94,37
79.01,30
80.07,45
81.13,41
82.19,30
83.25,22
84.31,45
85.37,22
86.43,48
87.49,18
88.55,22
89.61,18
90.66,45
91.72,22
92.78,52
93.84,41
94.93,33
95.99,41
97.05,3
98.11,30
99.17,26
100.23,37
101.29,22
31.91,48
32.96,48
34.02,52
35.08,3
36.14,26
37.2,67
38.26,45
39.32,52
40.38,41
41.44,45
42.5,22
43.56,48
44.62,56
45.68,67
46.74,60
47.8,56
48.86,63
49.92,48
50.98,45
52.04,48
53.1,41
54.18,60
55.24,67
56.3,52
57.36,41
58.42,41
59.48,56
60.54,56
61.6,63
62.66,60
63.72,41
64.78,7
65.84,41
66.9,48
67.96,37
69.02,37
70.08,26
71.14,52
72.2,48
73.26,41
74.32,52
75.38,60
76.44,33
77.5,41
78.56,48
79.61,48
80.67,41
81.73,52
82.79,63
83.85,63
84.94,45
86,30
87.06,41
88.12,63
89.18,75
90.24,71
97.99,33
99.04,7
100.1,56
101.16,56
102.22,52
103.28,112
104.34,41
105.4,52
106.46,45
107.52,52
108.58,30
109.64,18
110.7,33
111.76,37
112.82,3
113.88,52
114.94,101
47.92,18
48.97,26
50.03,30
51.11,33
52.17,33
53.23,15
54.29,18
55.35,30
